Timestamp,Routine,Position,Bool
0,1,1,FALSE
0.03333333333,1,1,FALSE
0.06666666667,1,1,FALSE
0.1,1,1,FALSE
0.1333333333,1,1,FALSE
0.1666666667,1,1,FALSE
0.2,1,1,FALSE
0.2333333333,1,1,FALSE
0.2666666667,1,1,FALSE
0.3,1,1,FALSE
0.3333333333,1,1,FALSE
0.3666666667,1,1,FALSE
0.4,1,1,FALSE
0.4333333333,1,1,FALSE
0.4666666667,1,1,FALSE
0.5,1,1,FALSE
0.5333333333,1,1,FALSE
0.5666666667,1,1,FALSE
0.6,1,1,FALSE
0.6333333333,1,1,FALSE
0.6666666667,1,1,FALSE
0.7,1,1,FALSE
0.7333333333,1,1,FALSE
0.7666666667,1,1,FALSE
0.8,1,1,FALSE
0.8333333333,1,1,FALSE
0.8666666667,1,1,FALSE
0.9,1,1,FALSE
0.9333333333,1,1,FALSE
0.9666666667,1,1,FALSE
1,1,1,FALSE
1.033333333,1,1,FALSE
1.066666667,1,1,FALSE
1.1,1,1,FALSE
1.133333333,1,1,FALSE
1.166666667,1,1,FALSE
1.2,1,1,FALSE
1.233333333,1,1,FALSE
1.266666667,1,1,FALSE
1.3,1,1,FALSE
1.333333333,1,1,FALSE
1.366666667,1,1,FALSE
1.4,1,1,FALSE
1.433333333,1,1,FALSE
1.466666667,1,1,FALSE
1.5,1,1,FALSE
1.533333333,1,1,FALSE
1.566666667,1,1,FALSE
1.6,1,1,FALSE
1.633333333,1,1,FALSE
1.666666667,1,1,FALSE
1.7,1,1,FALSE
1.733333333,1,1,FALSE
1.766666667,1,1,FALSE
1.8,1,1,FALSE
1.833333333,1,1,FALSE
1.866666667,1,1,FALSE
1.9,1,1,FALSE
1.933333333,1,1,FALSE
1.966666667,1,1,FALSE
2,1,1,FALSE
2.033333333,1,1,FALSE
2.066666667,1,1,FALSE
2.1,1,1,FALSE
2.133333333,1,1,FALSE
2.166666667,1,1,FALSE
2.2,1,1,FALSE
2.233333333,1,1,FALSE
2.266666667,1,1,FALSE
2.3,1,1,FALSE
2.333333333,1,1,FALSE
2.366666667,1,1,FALSE
2.4,1,1,FALSE
2.433333333,1,1,FALSE
2.466666667,1,1,FALSE
2.5,1,1,FALSE
2.533333333,1,1,FALSE
2.566666667,1,1,FALSE
2.6,1,1,FALSE
2.633333333,1,1,FALSE
2.666666667,1,1,FALSE
2.7,1,1,FALSE
2.733333333,1,1,FALSE
2.766666667,1,1,FALSE
2.8,1,1,FALSE
2.833333333,1,1,FALSE
2.866666667,1,1,TRUE
2.9,1,1,TRUE
2.933333333,1,1,FALSE
2.966666667,1,1,FALSE
3,1,1,FALSE
3.033333333,1,1,FALSE
3.066666667,1,1,TRUE
3.1,1,1,FALSE
3.133333333,1,1,FALSE
3.166666667,1,1,FALSE
3.2,1,1,TRUE
3.233333333,1,1,TRUE
3.266666667,1,2,FALSE
3.3,1,2,FALSE
3.333333333,1,2,FALSE
3.366666667,1,2,FALSE
3.4,1,2,FALSE
3.433333333,1,2,FALSE
3.466666667,1,2,FALSE
3.5,1,2,TRUE
3.533333333,1,2,TRUE
3.566666667,1,2,FALSE
3.6,1,2,TRUE
3.633333333,1,2,TRUE
3.666666667,1,2,TRUE
3.7,1,2,TRUE
3.733333333,1,2,FALSE
3.766666667,1,2,FALSE
3.8,1,2,FALSE
