Event,Arm Time,Camera Time,Time Diff,Expected,Detected,Correct
89,10.5,10.5,0.0,Cross,Cross,True
90,10.66666667,10.666666666666666,3.33333360913457e-09,Cross,Cross,True
91,10.7,10.7,0.0,Cross,Cross,True
92,10.73333333,10.733333333333333,3.3333318327777306e-09,Cross,Cross,True
93,10.93333333,10.933333333333334,3.33333360913457e-09,Cross,Cross,True
94,10.96666667,10.966666666666669,3.3333318327777306e-09,Cross,Cross,True
95,11.0,11.0,0.0,Cross,Cross,True
96,11.33333333,11.333333333333334,3.33333360913457e-09,Cross,Cross,True
97,11.36666667,11.366666666666667,3.33333360913457e-09,Cross,Cross,True
98,11.4,11.4,0.0,Cross,Cross,True
99,11.43333333,11.433333333333334,3.33333360913457e-09,Cross,Cross,True
100,12.16666667,12.166666666666666,3.33333360913457e-09,Cross,Cross,True
101,12.2,12.2,0.0,Cross,Cross + Rear Hook,True
102,12.23333333,12.233333333333333,3.3333318327777306e-09,Cross,Cross,True
103,12.26666667,12.266666666666667,3.3333318327777306e-09,Cross,Cross,True
104,12.5,12.5,0.0,Cross,Cross,True
105,12.53333333,12.533333333333331,3.3333318327777306e-09,Cross,Cross + Rear Hook,True
106,12.56666667,12.566666666666666,3.33333360913457e-09,Cross,Cross + Rear Hook,True
107,12.6,12.6,0.0,Cross,Cross,True
108,12.66666667,12.666666666666666,3.33333360913457e-09,Rear Hook,Rear Hook,True
109,12.7,12.7,0.0,Rear Hook,Rear Hook,True
110,12.9,12.9,0.0,Rear Hook,Cross + Rear Hook,True
111,12.93333333,12.933333333333334,3.33333360913457e-09,Rear Uppercut,Cross + Rear Uppercut,True
112,12.96666667,12.966666666666669,3.3333318327777306e-09,Rear Uppercut,Cross + Rear Uppercut,True
113,13.6,13.6,0.0,Jab,Jab,True
114,13.63333333,13.633333333333333,3.33333360913457e-09,Jab,Jab + Lead Hook,True
115,13.66666667,13.666666666666666,3.33333360913457e-09,Jab,Jab,True
116,14.0,14.0,0.0,Jab,Jab + Lead Hook,True
117,14.03333333,14.033333333333331,3.3333318327777306e-09,Jab,Jab,True
118,14.06666667,14.066666666666666,3.33333360913457e-09,Jab,Jab + Lead Hook,True
119,14.36666667,14.366666666666667,3.33333360913457e-09,Lead Hook,Jab + Lead Hook,True
120,14.4,14.4,0.0,Lead Hook,Jab + Lead Hook,True
121,14.43333333,14.433333333333334,3.33333360913457e-09,Lead Uppercut,Jab + Lead Uppercut,True
122,14.73333333,14.733333333333333,3.3333318327777306e-09,Jab,Jab,True
123,14.76666667,14.766666666666667,3.3333318327777306e-09,Jab,Jab + Lead Hook,True
124,14.8,14.8,0.0,Jab,Jab,True
125,14.83333333,14.833333333333334,3.33333360913457e-09,Lead Uppercut,Lead Uppercut,True
126,15.46666667,15.466666666666669,3.3333318327777306e-09,Cross,Cross,True
127,15.5,15.5,0.0,Cross,Cross,True
